,State,City,Pop,PCI,Hp total,price,rating,review,Total,Hp perc
0,ak,juneau city and borough,32113,"62,774",2,3.0,3.5,11.0,17.0,0.11764705882352941
1,ak,anchorage municipality,291538,"61,425",10,3.1,3.6,22.9,200.0,0.05
2,al,tuscaloosa,101113,"35,365",1,3.0,3.5,18.0,48.0,0.020833333333333332
3,al,talladega,15291,"30,917",12,3.0833333333333335,3.25,12.166666666666666,310.0,0.03870967741935484
4,al,butler,1739,"32,862",1,3.0,5.0,8.0,11.0,0.09090909090909091
5,al,mobile,189572,"34,661",4,3.0,3.5,8.75,143.0,0.027972027972027972
6,al,fayette,4327,"30,747",1,3.0,3.5,18.0,64.0,0.015625
7,al,geneva,4335,"30,997",1,3.0,4.0,5.0,22.0,0.045454545454545456
8,al,madison,50440,"45,274",3,3.3333333333333335,3.8333333333333335,5.666666666666667,121.0,0.024793388429752067
9,al,marion,3252,"29,422",1,3.0,3.5,18.0,75.0,0.013333333333333334
10,al,franklin,126,"30,044",2,3.0,4.0,5.5,145.0,0.013793103448275862
11,ar,van buren,23691,"29,374",2,3.0,2.25,7.0,12.0,0.16666666666666666
12,ar,searcy,23768,"26,785",1,3.0,5.0,5.0,9.0,0.1111111111111111
13,ar,perry,274,"31,447",5,3.2,3.8,7.8,107.0,0.04672897196261682
14,ar,madison,696,"32,411",3,3.0,3.8333333333333335,9.0,97.0,0.030927835051546393
15,ar,lincoln,2474,"24,404",2,3.0,4.25,10.0,93.0,0.021505376344086023
16,ar,garland,239,"35,645",6,3.1666666666666665,3.6666666666666665,16.666666666666668,204.0,0.029411764705882353
17,ar,bradley,528,"34,423",4,3.25,3.875,11.25,105.0,0.0380952380952381
18,ar,johnson,3736,"27,625",1,3.0,4.5,5.0,36.0,0.027777777777777776
19,ca,tulare,64475,"37,121",3,3.0,4.0,5.666666666666667,96.0,0.03125
20,ca,san diego,1425976,"52,214",12,3.25,3.875,100.25,4100.0,0.002926829268292683
21,ca,sonoma,11248,"51,565",7,3.0,4.357142857142857,161.71428571428572,109.0,0.06422018348623854
22,ca,santa cruz,64725,"56,549",7,3.0,4.142857142857143,142.71428571428572,362.0,0.019337016574585635
23,ca,santa clara,129488,"79,055",8,3.125,4.25,47.75,1300.0,0.006153846153846154
24,ca,santa barbara,91350,"53,758",16,3.125,4.3125,37.3125,336.0,0.047619047619047616
25,ca,san mateo,105025,"93,765",10,3.0,3.9,75.6,669.0,0.014947683109118086
26,ca,san luis obispo,47446,"48,532",5,3.2,4.5,35.8,135.0,0.037037037037037035
27,ca,san francisco,883305,"99,990",20,3.15,4.375,207.35,3500.0,0.005714285714285714
28,ca,ventura,111128,"53,031",7,3.2857142857142856,3.642857142857143,16.714285714285715,454.0,0.015418502202643172
29,ca,tehama,421,"36,005",3,3.3333333333333335,4.333333333333333,18.333333333333332,182.0,0.016483516483516484
30,ca,sacramento,508529,"45,187",9,3.111111111111111,4.333333333333333,106.11111111111111,2300.0,0.00391304347826087
31,ca,riverside,330063,"34,753",5,3.2,4.4,351.4,3000.0,0.0016666666666666668
32,ca,alameda,78338,"59,085",8,3.0,4.6875,47.75,950.0,0.008421052631578947
33,ca,san bernardino,215941,"34,320",6,3.0,2.75,70.0,571.0,0.010507880910683012
34,ca,fresno,530093,"37,434",10,3.1,3.7,46.2,487.0,0.02053388090349076
35,ca,imperial,17695,"32,890",2,3.0,3.5,12.0,10.0,0.2
36,ca,los angeles,3990456,"52,233",20,3.15,4.325,128.45,11900.0,0.0016806722689075631
37,ca,monterey,28289,"47,557",10,3.2,4.1,70.3,247.0,0.04048582995951417
38,ca,napa,79263,"59,563",17,3.0588235294117645,4.029411764705882,102.3529411764706,289.0,0.058823529411764705
39,ca,orange,139484,"57,165",10,3.1,4.2,154.0,1100.0,0.00909090909090909
40,ca,madera,65706,"35,754",14,3.0,3.6785714285714284,24.785714285714285,466.0,0.030042918454935622
41,co,montezuma,68,"39,527",5,3.0,4.3,27.4,40.0,0.125
42,co,pueblo,111750,"33,932",1,4.0,1.0,1.0,41.0,0.024390243902439025
43,co,pitkin,72,"126,611",10,3.2,4.05,15.2,75.0,0.13333333333333333
44,co,ouray,1010,"51,437",1,3.0,4.5,36.0,5.0,0.2
45,co,montrose,19512,"34,155",2,3.0,4.0,8.5,10.0,0.2
46,co,kiowa,757,"52,054",15,3.1333333333333333,4.133333333333334,53.6,3100.0,0.004838709677419355
47,co,gunnison,6594,"40,429",3,3.0,3.6666666666666665,9.333333333333334,28.0,0.10714285714285714
48,co,dolores,958,"33,107",1,3.0,5.0,2.0,5.0,0.2
49,co,denver,716492,"68,046",13,3.1538461538461537,4.038461538461538,55.76923076923077,2900.0,0.004482758620689655
50,co,delta,8920,"33,209",4,3.0,4.5,5.75,89.0,0.0449438202247191
51,co,crowley,167,"18,464",1,4.0,1.0,1.0,31.0,0.03225806451612903
52,ct,windham,24706,"41,381",1,3.0,4.0,42.0,46.0,0.021739130434782608
53,ct,tolland,14655,"50,980",1,3.0,4.0,42.0,18.0,0.05555555555555555
54,ct,litchfield,8127,"56,884",4,3.25,3.75,28.5,22.0,0.18181818181818182
55,ct,new haven,130418,"50,286",7,3.2857142857142856,4.071428571428571,17.857142857142858,215.0,0.03255813953488372
56,ct,new london,26939,"51,200",1,3.0,4.0,4.0,69.0,0.014492753623188406
57,ct,hartford,122587,"57,564",8,3.0,3.5625,16.125,260.0,0.03076923076923077
58,ct,fairfield,61952,"102,612",10,3.0,4.0,10.8,165.0,0.06060606060606061
59,de,new castle,5529,"49,300",4,3.0,4.125,18.75,84.0,0.047619047619047616
60,fl,sarasota,57738,"54,984",20,3.25,3.55,17.05,500.0,0.04
61,fl,seminole,18866,"41,339",3,3.3333333333333335,3.8333333333333335,17.333333333333332,297.0,0.010101010101010102
62,fl,palm beach,8802,"66,126",8,3.125,3.75,18.25,230.0,0.034782608695652174
63,fl,madison,2797,"28,449",3,3.3333333333333335,3.8333333333333335,15.333333333333334,78.0,0.038461538461538464
64,fl,lee,328,"44,543",1,3.0,2.5,16.0,47.0,0.02127659574468085
65,fl,okeechobee,5731,"28,601",1,3.0,5.0,1.0,6.0,0.16666666666666666
66,ga,jefferson,11704,"28,456",1,3.0,5.0,3.0,57.0,0.017543859649122806
67,ga,lumpkin,1197,"31,917",8,3.25,4.0625,8.625,144.0,0.05555555555555555
68,ga,mitchell,193,"29,523",5,3.0,3.4,4.0,198.0,0.025252525252525252
69,ga,monroe,13573,"39,206",1,4.0,1.0,4.0,9.0,0.1111111111111111
70,ga,morgan,1846,"41,424",1,4.0,3.0,1.0,32.0,0.03125
71,ga,oglethorpe,1159,"34,291",5,3.0,4.2,9.4,103.0,0.04854368932038835
72,ga,pulaski,269,"25,958",1,3.0,3.5,12.0,20.0,0.05
73,ga,quitman,3703,"26,489",1,3.0,2.5,16.0,24.0,0.041666666666666664
74,ga,screven,761,"29,505",3,3.3333333333333335,2.8333333333333335,15.333333333333334,134.0,0.022388059701492536
75,ga,washington,4001,"31,659",5,3.0,3.3,3.2,278.0,0.017985611510791366
76,ga,white,722,"30,534",2,3.0,3.75,7.0,40.0,0.05
77,ga,macon,153095,"28,018",2,3.0,4.75,8.0,37.0,0.05405405405405406
78,ga,oconee,244,"55,452",6,3.1666666666666665,4.166666666666667,14.0,148.0,0.04054054054054054
79,ga,newton,579,"29,625",1,4.0,3.0,1.0,26.0,0.038461538461538464
80,ga,gordon,1882,"30,915",4,3.0,4.25,7.75,90.0,0.044444444444444446
81,ga,franklin,924,"32,534",12,3.4166666666666665,3.4583333333333335,8.333333333333334,1900.0,0.00631578947368421
82,ga,forsyth,4117,"54,651",3,3.0,4.833333333333333,5.666666666666667,60.0,0.05
83,ga,douglas,11616,"31,349",1,3.0,2.5,16.0,30.0,0.03333333333333333
84,ga,decatur,25732,"31,946",1,3.0,4.0,61.0,179.0,0.00558659217877095
85,ga,dawson,4102,"37,402",1,4.0,3.0,1.0,35.0,0.02857142857142857
86,ga,crawford,832,"29,600",5,3.2,4.3,9.6,93.0,0.053763440860215055
87,ga,colquitt,1824,"27,507",1,4.0,3.0,1.0,92.0,0.010869565217391304
88,ga,cobb,346,"48,253",1,4.0,3.0,1.0,12.0,0.08333333333333333
89,ga,clayton,2183,"25,550",6,3.1666666666666665,3.4166666666666665,10.5,280.0,0.02142857142857143
90,ga,calhoun,16966,"21,655",1,4.0,5.0,3.0,10.0,0.1
91,ga,brooks,555,"31,146",3,3.0,3.8333333333333335,7.333333333333333,90.0,0.03333333333333333
92,ga,bartow,256,"33,267",12,3.25,3.75,9.666666666666666,579.0,0.02072538860103627
93,ga,baldwin,3384,"29,192",4,3.25,3.375,8.5,76.0,0.05263157894736842
94,hi,honolulu,347397,"50,988",17,3.1176470588235294,4.294117647058823,71.94117647058823,1000.0,0.017
95,ia,hamilton,133,"50,618",7,3.142857142857143,3.4285714285714284,7.285714285714286,131.0,0.05343511450381679
96,ia,greene,1068,"48,116",2,3.0,4.25,8.5,37.0,0.05405405405405406
97,ia,franklin,134,"50,235",1,4.0,4.5,8.0,16.0,0.0625
98,ia,floyd,318,"41,127",2,3.5,3.0,9.5,25.0,0.08
99,ia,hancock,195,"50,657",13,3.230769230769231,3.769230769230769,14.846153846153847,328.0,0.039634146341463415
100,ia,fayette,1374,"39,680",2,3.0,4.25,8.5,40.0,0.05
101,ia,des moines,216853,"46,007",8,3.25,3.875,8.5,217.0,0.03686635944700461
102,ia,delaware,151,"44,837",3,3.3333333333333335,4.0,11.333333333333334,120.0,0.025
103,ia,clinton,25184,"39,659",4,3.0,3.875,9.5,52.0,0.07692307692307693
104,ia,clayton,39,"44,107",1,3.0,4.0,18.0,47.0,0.02127659574468085
105,ia,cherokee,4900,"55,347",2,3.0,3.75,4.5,17.0,0.11764705882352941
106,ia,muscatine,23817,"42,450",2,3.0,4.75,4.5,5.0,0.4
107,ia,webster,71,"42,161",8,3.25,4.1875,15.625,203.0,0.03940886699507389
108,ia,washington,7309,"51,235",1,4.0,4.5,8.0,7.0,0.14285714285714285
109,ia,wapello,2026,"34,477",10,3.1,4.35,13.1,201.0,0.04975124378109453
110,ia,union,382,"37,907",1,4.0,5.0,3.0,6.0,0.16666666666666666
111,ia,tama,2745,"40,729",3,3.3333333333333335,4.5,6.666666666666667,51.0,0.058823529411764705
112,ia,shelby,616,"50,283",13,3.076923076923077,4.076923076923077,14.538461538461538,364.0,0.03571428571428571
113,ia,jefferson,4148,"37,397",8,3.125,3.6875,9.625,254.0,0.031496062992125984
114,ia,osceola,5193,"57,030",8,3.25,3.8125,8.125,187.0,0.0427807486631016
115,ia,monroe,1874,"38,175",9,3.2222222222222223,3.888888888888889,7.333333333333333,281.0,0.03202846975088968
116,ia,mitchell,131,"57,565",1,4.0,2.5,5.0,19.0,0.05263157894736842
117,ia,marshall,27068,"38,463",12,3.1666666666666665,3.6666666666666665,7.0,279.0,0.043010752688172046
118,ia,marion,39979,"40,851",2,3.0,4.5,13.0,72.0,0.027777777777777776
119,ia,lucas,209,"37,890",8,3.25,3.8125,9.625,188.0,0.0425531914893617
120,ia,plymouth,363,"52,006",1,4.0,2.5,5.0,7.0,0.14285714285714285
121,id,boise,228790,"36,229",8,3.0,4.4375,22.875,371.0,0.0215633423180593
122,id,twin falls,49764,"35,300",2,3.0,3.75,7.0,19.0,0.10526315789473684
123,id,jerome,11807,"37,126",2,3.0,3.75,7.0,23.0,0.08695652173913043
124,id,payette,7527,"35,582",13,3.076923076923077,3.8846153846153846,12.153846153846153,422.0,0.030805687203791468
125,id,gooding,3473,"58,373",2,3.0,3.75,7.0,30.0,0.06666666666666667
126,id,shoshone,1511,"33,851",2,3.0,3.75,7.0,33.0,0.06060606060606061
127,id,teton,733,"31,214",4,3.5,2.625,10.5,17.0,0.23529411764705882
128,id,minidoka,113,"35,533",1,3.0,1.0,1.0,4.0,0.25
129,il,scott,1235,"37,014",3,3.3333333333333335,2.6666666666666665,8.666666666666666,46.0,0.06521739130434782
130,il,franklin,2473,"34,652",2,3.0,3.5,12.5,51.0,0.0392156862745098
131,il,union,677,"37,679",15,3.3333333333333335,3.7666666666666666,19.6,503.0,0.02982107355864811
132,il,montgomery,637,"33,349",1,3.0,4.5,19.0,109.0,0.009174311926605505
133,il,morgan,345,"36,602",3,3.3333333333333335,2.6666666666666665,8.666666666666666,62.0,0.04838709677419355
134,il,lake,941,"68,199",19,3.0,3.973684210526316,72.05263157894737,5600.0,0.0033928571428571428
135,il,wabash,2152,"41,797",3,3.3333333333333335,4.333333333333333,14.0,76.0,0.039473684210526314
136,il,champaign,88029,"42,659",4,3.0,4.125,41.25,107.0,0.037383177570093455
137,il,dekalb,42611,"35,809",5,3.0,3.0,11.4,35.0,0.14285714285714285
138,il,fulton,3346,"33,854",4,3.0,3.875,9.5,33.0,0.12121212121212122
139,il,henry,2232,"42,246",8,3.0,3.8125,13.625,163.0,0.049079754601226995
140,il,johnson,644,"30,786",1,3.0,3.5,3.0,23.0,0.043478260869565216
141,il,kankakee,26052,"36,138",1,3.0,3.0,2.0,23.0,0.043478260869565216
142,il,mchenry,27022,"48,027",1,4.0,2.0,3.0,50.0,0.02
143,il,macon,1120,"44,811",2,3.0,3.25,3.0,15.0,0.13333333333333333
144,il,madison,3794,"40,943",7,3.2857142857142856,3.357142857142857,18.571428571428573,336.0,0.020833333333333332
145,il,douglas,157,"45,461",4,3.5,3.875,3.75,198.0,0.020202020202020204
146,il,marshall,3843,"42,080",2,3.0,4.75,7.5,25.0,0.08
147,il,peoria,111388,"46,148",5,3.0,3.0,17.0,80.0,0.0625
148,il,rock island,37678,"39,842",2,3.0,4.25,13.5,57.0,0.03508771929824561
149,il,boone,1934,"40,608",17,3.1176470588235294,3.9411764705882355,15.0,1800.0,0.009444444444444445
150,il,lee,308,"37,889",2,3.0,3.75,14.5,59.0,0.03389830508474576
151,il,bureau,233,"39,270",2,3.0,3.5,7.5,19.0,0.10526315789473684
152,il,brown,2054,"29,522",2,3.5,2.25,3.5,23.0,0.08695652173913043
153,il,lasalle,9064,"39,378",1,3.0,2.0,14.0,14.0,0.07142857142857142
154,il,wayne,66483,"40,354",17,3.1176470588235294,3.911764705882353,34.23529411764706,685.0,0.024817518248175182
155,il,richland,363,"39,787",1,3.0,5.0,1.0,14.0,0.07142857142857142
156,il,knox,4794,"36,417",4,3.0,3.625,21.0,151.0,0.026490066225165563
157,il,kendall,8946,"43,074",8,3.375,3.5625,24.625,860.0,0.009302325581395349
158,il,warren,1479,"36,696",7,3.142857142857143,4.071428571428571,23.428571428571427,270.0,0.025925925925925925
159,il,jersey,9823,"36,597",18,3.0555555555555554,4.166666666666667,19.666666666666668,1000.0,0.018
160,il,cass,601,"38,103",5,3.2,2.7,8.4,81.0,0.06172839506172839
161,il,edgar,449,"37,073",5,3.2,4.0,27.0,154.0,0.032467532467532464
162,il,lawrence,6355,"32,979",1,3.0,5.0,1.0,16.0,0.0625
163,il,pike,225,"39,140",3,3.6666666666666665,2.3333333333333335,3.3333333333333335,20.0,0.15
164,il,will,1805,"45,465",21,3.142857142857143,4.261904761904762,57.333333333333336,5400.0,0.0038888888888888888
165,il,jasper,1722,"42,512",2,3.0,5.0,5.5,49.0,0.04081632653061224
166,il,carroll,578,"40,981",2,3.0,4.5,10.5,144.0,0.013888888888888888
167,il,perry,574,"34,612",2,3.5,2.25,3.5,16.0,0.125
168,il,hardin,204,"34,034",18,3.111111111111111,4.027777777777778,15.38888888888889,945.0,0.01904761904761905
169,il,st. clair,35047,"39,740",13,3.076923076923077,4.1923076923076925,20.846153846153847,1000.0,0.013
170,il,logan,3104,"35,205",3,3.0,2.5,5.0,209.0,0.014354066985645933
171,il,monroe,1485,"50,446",20,3.05,4.1,18.75,1100.0,0.01818181818181818
172,il,mercer,3872,"40,702",7,3.0,4.357142857142857,23.857142857142858,164.0,0.042682926829268296
173,il,greene,1543,"34,501",11,3.272727272727273,3.090909090909091,15.727272727272727,373.0,0.029490616621983913
174,il,randolph,4447,"32,226",9,3.111111111111111,4.0,22.444444444444443,709.0,0.012693935119887164
175,il,sangamon,2333,"43,441",2,3.5,1.75,4.0,78.0,0.02564102564102564
176,in,ripley,985,"37,430",3,3.3333333333333335,3.5,18.333333333333332,384.0,0.0078125
177,in,vigo,3964,"34,509",2,3.0,4.75,7.5,49.0,0.04081632653061224
178,in,allen,670,"40,471",4,3.0,4.25,20.75,156.0,0.02564102564102564
179,in,randolph,4170,"35,269",4,3.25,4.125,5.5,168.0,0.023809523809523808
180,in,clark,2715,"40,151",3,3.0,4.0,56.666666666666664,503.0,0.005964214711729622
181,in,hendricks,1276,"42,937",12,3.1666666666666665,4.291666666666667,27.333333333333332,978.0,0.012269938650306749
182,in,vermillion,877,"35,532",6,3.0,3.9166666666666665,25.333333333333332,177.0,0.03389830508474576
183,in,fayette,2600,"35,734",4,3.0,4.0,11.75,119.0,0.03361344537815126
184,in,gibson,1168,"40,959",4,3.25,4.0,12.0,87.0,0.04597701149425287
185,in,floyd,4051,"47,171",9,3.0,3.6666666666666665,21.555555555555557,450.0,0.02
186,in,washington,12149,"33,987",5,3.4,3.8,7.6,97.0,0.05154639175257732
187,in,warren,1209,"42,455",5,3.2,3.5,11.8,184.0,0.02717391304347826
188,in,wabash,10054,"38,314",5,3.2,4.1,16.4,173.0,0.028901734104046242
189,in,tipton,5104,"40,206",1,3.0,4.0,9.0,6.0,0.16666666666666666
190,in,sullivan,4097,"31,374",3,3.0,4.833333333333333,5.333333333333333,48.0,0.0625
191,in,spencer,2248,"39,496",1,3.0,3.0,21.0,9.0,0.1111111111111111
192,in,porter,4825,"45,101",2,3.0,2.75,14.5,15.0,0.13333333333333333
193,in,morgan,976,"39,004",12,3.0,3.9583333333333335,24.416666666666668,982.0,0.012219959266802444
194,in,montgomery,347,"37,697",5,3.4,3.8,7.6,96.0,0.052083333333333336
195,in,marion,28047,"46,320",1,3.0,4.0,9.0,10.0,0.1
196,in,lawrence,49046,"34,913",20,3.1,4.1,18.65,530.0,0.03773584905660377
197,in,knox,3535,"41,101",1,3.0,3.0,13.0,7.0,0.14285714285714285
198,in,jasper,15568,"40,597",3,3.6666666666666665,3.6666666666666665,11.0,10.0,0.3
199,in,elkhart,52367,"38,511",2,3.5,3.0,2.5,31.0,0.06451612903225806
200,in,decatur,9843,"38,304",4,3.0,4.0,13.0,159.0,0.025157232704402517
201,in,clinton,4717,"34,936",2,3.0,4.75,7.5,25.0,0.08
202,in,wayne,952,"36,972",14,3.0,3.5,19.714285714285715,391.0,0.03580562659846547
203,in,jefferson,1131,"37,002",8,3.0,3.6875,20.5,151.0,0.052980132450331126
204,in,lagrange,2748,"34,987",9,3.2222222222222223,3.7777777777777777,17.88888888888889,290.0,0.03103448275862069
205,in,adams,34460,"35,449",5,3.6,4.1,13.2,164.0,0.03048780487804878
206,in,union,962,"34,404",3,3.0,4.333333333333333,10.333333333333334,56.0,0.05357142857142857
207,in,howard,2558,"36,841",9,3.0,4.222222222222222,25.88888888888889,665.0,0.013533834586466165
208,in,brown,2647,"40,633",1,3.0,4.5,36.0,792.0,0.0012626262626262627
209,in,henry,2934,"33,164",6,3.0,4.25,4.666666666666667,165.0,0.03636363636363636
210,in,delaware,3475,"32,666",15,3.066666666666667,3.7333333333333334,14.8,467.0,0.032119914346895075
211,in,jennings,1416,"34,177",2,3.0,4.0,6.0,148.0,0.013513513513513514
212,in,johnson,499,"42,691",3,3.3333333333333335,3.6666666666666665,15.666666666666666,88.0,0.03409090909090909
213,in,posey,3931,"45,646",3,3.3333333333333335,3.6666666666666665,15.666666666666666,76.0,0.039473684210526314
214,in,cass,338,"34,954",2,3.0,3.25,17.5,102.0,0.0196078431372549
215,in,miami,1273,"31,354",21,3.0952380952380953,4.095238095238095,56.0,2800.0,0.0075
216,in,jackson,532,"38,888",12,3.1666666666666665,3.75,18.583333333333332,344.0,0.03488372093023256
217,in,noble,1915,"34,625",7,3.4285714285714284,4.142857142857143,14.714285714285714,243.0,0.02880658436213992
218,in,lake,2433,"38,485",4,3.25,3.875,27.0,144.0,0.027777777777777776
219,in,perry,30956,"33,711",4,3.5,3.625,9.75,116.0,0.034482758620689655
220,in,clay,3540,"33,864",11,3.0,4.045454545454546,20.727272727272727,820.0,0.013414634146341463
221,in,harrison,4132,"37,177",2,3.0,4.75,7.5,24.0,0.08333333333333333
222,in,st. joseph,75633,"41,274",12,3.25,3.3333333333333335,11.083333333333334,265.0,0.045283018867924525
223,in,ohio,1930,"35,220",9,3.111111111111111,3.611111111111111,41.666666666666664,215.0,0.04186046511627907
224,in,tippecanoe,2357,"34,210",17,3.0588235294117645,3.4411764705882355,24.764705882352942,565.0,0.03008849557522124
225,in,boone,1446,"62,698",15,3.1333333333333333,4.1,22.266666666666666,965.0,0.015544041450777202
226,ks,lyon,523,"33,378",1,4.0,3.0,15.0,55.0,0.01818181818181818
227,ks,harvey,92,"38,197",7,3.0,4.142857142857143,12.857142857142858,196.0,0.03571428571428571
228,ks,neosho,263,"35,565",2,3.5,4.25,7.5,25.0,0.08
229,ks,pottawatomie,197,"48,438",4,3.25,3.25,10.25,85.0,0.047058823529411764
230,ks,crawford,590,"33,475",3,3.3333333333333335,3.1666666666666665,7.0,42.0,0.07142857142857142
231,ks,franklin,347,"37,003",4,3.25,3.625,8.25,43.0,0.09302325581395349
232,ks,clay,70,"39,251",1,3.0,3.5,12.0,52.0,0.019230769230769232
233,ks,scott,2265,"67,443",3,3.3333333333333335,3.6666666666666665,6.0,8.0,0.375
234,ks,grant,50,"51,243",2,3.5,3.0,2.0,12.0,0.16666666666666666
235,ks,sherman,537,"36,625",2,3.5,3.5,9.0,44.0,0.045454545454545456
236,ks,jefferson,614,"38,324",14,3.2142857142857144,4.178571428571429,18.571428571428573,820.0,0.01707317073170732
237,ks,douglas,108,"37,883",6,3.0,4.333333333333333,14.333333333333334,137.0,0.043795620437956206
238,ks,wabaunsee,521,"45,431",4,3.25,3.125,13.25,88.0,0.045454545454545456
239,ks,morris,24,"39,588",2,3.0,3.5,10.5,54.0,0.037037037037037035
240,ks,morton,439,"38,439",1,3.0,1.0,1.0,4.0,0.25
241,ks,sumner,157,"36,574",7,3.142857142857143,3.857142857142857,17.0,189.0,0.037037037037037035
242,ks,miami,545,"41,823",13,3.230769230769231,4.269230769230769,16.53846153846154,861.0,0.015098722415795587
243,ks,stanton,182,"55,496",18,3.1666666666666665,4.138888888888889,22.0,898.0,0.0200445434298441
244,ks,reno,1506,"36,148",3,3.0,4.333333333333333,11.0,113.0,0.02654867256637168
245,ks,haskell,1950,"74,156",2,3.5,3.0,2.0,12.0,0.16666666666666666
246,ks,nemaha,153,"50,505",2,3.0,3.5,10.5,39.0,0.05128205128205128
247,ks,osage,242,"36,926",3,3.3333333333333335,3.6666666666666665,9.0,132.0,0.022727272727272728
248,ks,labette,72,"37,052",2,3.5,3.5,9.0,61.0,0.03278688524590164
249,ks,kiowa,941,"31,897",1,3.0,3.5,6.0,2.0,0.5
250,ks,kingman,2906,"41,913",1,3.0,4.0,9.0,89.0,0.011235955056179775
251,ks,allen,174,"36,328",3,3.3333333333333335,3.3333333333333335,12.0,88.0,0.03409090909090909
252,ks,harper,1333,"44,958",6,3.0,4.083333333333333,15.333333333333334,164.0,0.036585365853658534
253,ks,cherokee,709,"32,957",2,3.5,3.5,9.0,43.0,0.046511627906976744
254,ks,atchison,10560,"33,996",1,3.0,4.0,4.0,41.0,0.024390243902439025
255,ks,greeley,296,"49,392",11,3.090909090909091,4.2272727272727275,18.727272727272727,559.0,0.01967799642218247
256,ks,linn,385,"32,225",2,3.0,3.5,10.5,37.0,0.05405405405405406
257,ks,jackson,451,"36,827",5,3.6,3.4,7.4,150.0,0.03333333333333333
258,ks,washington,1062,"43,948",2,3.0,3.5,10.5,22.0,0.09090909090909091
259,ks,wichita,389255,"83,074",7,3.0,4.071428571428571,12.571428571428571,175.0,0.04
260,ks,shawnee,65845,"41,498",10,3.1,4.0,20.7,573.0,0.017452006980802792
261,ks,riley,954,"38,338",2,3.0,3.5,10.5,43.0,0.046511627906976744
262,ks,meade,1565,"55,983",1,3.0,5.0,2.0,10.0,0.1
263,ks,marion,1787,"36,386",5,3.0,4.1,18.6,91.0,0.054945054945054944
264,ks,ottawa,12267,"36,310",12,3.3333333333333335,4.0,21.75,791.0,0.015170670037926675
265,ky,hickman,2156,"44,746",1,3.0,2.0,22.0,20.0,0.05
266,ky,union,5930,"33,296",1,3.0,4.0,29.0,95.0,0.010526315789473684
267,ky,martin,560,"25,670",1,3.0,2.5,7.0,8.0,0.125
268,ky,marion,2872,"31,651",1,3.0,3.5,4.0,69.0,0.014492753623188406
269,ky,jefferson,27997,"44,719",10,3.0,4.1,29.0,511.0,0.019569471624266144
270,ky,jackson,1979,"26,195",1,3.0,2.5,7.0,13.0,0.07692307692307693
271,ky,henderson,28432,"36,154",1,3.0,4.5,27.0,58.0,0.017241379310344827
272,ky,hardin,610,"38,575",1,3.0,2.0,22.0,19.0,0.05263157894736842
273,ky,franklin,8969,"38,667",14,3.0714285714285716,3.9285714285714284,19.642857142857142,653.0,0.021439509954058193
274,ky,cumberland,1967,"30,581",1,3.0,2.5,7.0,6.0,0.16666666666666666
275,ky,crittenden,3899,"33,019",4,3.0,3.75,18.25,172.0,0.023255813953488372
