,State,City,Pop,PCI,price,rating,review,Total
0,ak,juneau city and borough,32113,"62,774",3.0,3.5,11.0,17.0
1,al,talladega,15291,"30,917",3.0833333333333335,3.25,12.166666666666666,310.0
2,al,butler,1739,"32,862",3.0,5.0,8.0,11.0
3,al,fayette,4327,"30,747",3.0,3.5,18.0,64.0
4,al,geneva,4335,"30,997",3.0,4.0,5.0,22.0
5,al,madison,50440,"45,274",3.3333333333333335,3.8333333333333335,5.666666666666667,121.0
6,al,marion,3252,"29,422",3.0,3.5,18.0,75.0
7,al,franklin,126,"30,044",3.0,4.0,5.5,145.0
8,ar,van buren,23691,"29,374",3.0,2.25,7.0,12.0
9,ar,searcy,23768,"26,785",3.0,5.0,5.0,9.0
10,ar,perry,274,"31,447",3.2,3.8,7.8,107.0
11,ar,madison,696,"32,411",3.0,3.8333333333333335,9.0,97.0
12,ar,lincoln,2474,"24,404",3.0,4.25,10.0,93.0
13,ar,garland,239,"35,645",3.1666666666666665,3.6666666666666665,16.666666666666668,204.0
14,ar,bradley,528,"34,423",3.25,3.875,11.25,105.0
15,ar,johnson,3736,"27,625",3.0,4.5,5.0,36.0
16,ca,sonoma,11248,"51,565",3.0,4.357142857142857,161.71428571428572,109.0
17,ca,san luis obispo,47446,"48,532",3.2,4.5,35.8,135.0
18,ca,tehama,421,"36,005",3.3333333333333335,4.333333333333333,18.333333333333332,182.0
19,ca,imperial,17695,"32,890",3.0,3.5,12.0,10.0
20,ca,monterey,28289,"47,557",3.2,4.1,70.3,247.0
21,co,montezuma,68,"39,527",3.0,4.3,27.4,40.0
22,co,pitkin,72,"126,611",3.2,4.05,15.2,75.0
23,co,ouray,1010,"51,437",3.0,4.5,36.0,5.0
24,co,montrose,19512,"34,155",3.0,4.0,8.5,10.0
25,co,kiowa,757,"52,054",3.1333333333333333,4.133333333333334,53.6,3100.0
26,co,gunnison,6594,"40,429",3.0,3.6666666666666665,9.333333333333334,28.0
27,co,dolores,958,"33,107",3.0,5.0,2.0,5.0
28,co,delta,8920,"33,209",3.0,4.5,5.75,89.0
29,co,crowley,167,"18,464",4.0,1.0,1.0,31.0
30,ct,windham,24706,"41,381",3.0,4.0,42.0,46.0
31,ct,tolland,14655,"50,980",3.0,4.0,42.0,18.0
32,ct,litchfield,8127,"56,884",3.25,3.75,28.5,22.0
33,ct,new london,26939,"51,200",3.0,4.0,4.0,69.0
34,de,new castle,5529,"49,300",3.0,4.125,18.75,84.0
35,fl,sarasota,57738,"54,984",3.25,3.55,17.05,500.0
36,fl,seminole,18866,"41,339",3.3333333333333335,3.8333333333333335,17.333333333333332,297.0
37,fl,palm beach,8802,"66,126",3.125,3.75,18.25,230.0
38,fl,madison,2797,"28,449",3.3333333333333335,3.8333333333333335,15.333333333333334,78.0
39,fl,lee,328,"44,543",3.0,2.5,16.0,47.0
40,fl,okeechobee,5731,"28,601",3.0,5.0,1.0,6.0
41,ga,jefferson,11704,"28,456",3.0,5.0,3.0,57.0
42,ga,lumpkin,1197,"31,917",3.25,4.0625,8.625,144.0
43,ga,mitchell,193,"29,523",3.0,3.4,4.0,198.0
44,ga,monroe,13573,"39,206",4.0,1.0,4.0,9.0
45,ga,morgan,1846,"41,424",4.0,3.0,1.0,32.0
46,ga,oglethorpe,1159,"34,291",3.0,4.2,9.4,103.0
47,ga,pulaski,269,"25,958",3.0,3.5,12.0,20.0
48,ga,quitman,3703,"26,489",3.0,2.5,16.0,24.0
49,ga,screven,761,"29,505",3.3333333333333335,2.8333333333333335,15.333333333333334,134.0
50,ga,washington,4001,"31,659",3.0,3.3,3.2,278.0
51,ga,white,722,"30,534",3.0,3.75,7.0,40.0
52,ga,oconee,244,"55,452",3.1666666666666665,4.166666666666667,14.0,148.0
53,ga,newton,579,"29,625",4.0,3.0,1.0,26.0
54,ga,gordon,1882,"30,915",3.0,4.25,7.75,90.0
55,ga,franklin,924,"32,534",3.4166666666666665,3.4583333333333335,8.333333333333334,1900.0
56,ga,forsyth,4117,"54,651",3.0,4.833333333333333,5.666666666666667,60.0
57,ga,douglas,11616,"31,349",3.0,2.5,16.0,30.0
58,ga,decatur,25732,"31,946",3.0,4.0,61.0,179.0
59,ga,dawson,4102,"37,402",4.0,3.0,1.0,35.0
60,ga,crawford,832,"29,600",3.2,4.3,9.6,93.0
61,ga,colquitt,1824,"27,507",4.0,3.0,1.0,92.0
62,ga,cobb,346,"48,253",4.0,3.0,1.0,12.0
63,ga,clayton,2183,"25,550",3.1666666666666665,3.4166666666666665,10.5,280.0
64,ga,calhoun,16966,"21,655",4.0,5.0,3.0,10.0
65,ga,brooks,555,"31,146",3.0,3.8333333333333335,7.333333333333333,90.0
66,ga,bartow,256,"33,267",3.25,3.75,9.666666666666666,579.0
67,ga,baldwin,3384,"29,192",3.25,3.375,8.5,76.0
68,ia,hamilton,133,"50,618",3.142857142857143,3.4285714285714284,7.285714285714286,131.0
69,ia,greene,1068,"48,116",3.0,4.25,8.5,37.0
70,ia,franklin,134,"50,235",4.0,4.5,8.0,16.0
71,ia,floyd,318,"41,127",3.5,3.0,9.5,25.0
72,ia,hancock,195,"50,657",3.230769230769231,3.769230769230769,14.846153846153847,328.0
73,ia,fayette,1374,"39,680",3.0,4.25,8.5,40.0
74,ia,delaware,151,"44,837",3.3333333333333335,4.0,11.333333333333334,120.0
75,ia,clinton,25184,"39,659",3.0,3.875,9.5,52.0
76,ia,clayton,39,"44,107",3.0,4.0,18.0,47.0
77,ia,cherokee,4900,"55,347",3.0,3.75,4.5,17.0
78,ia,muscatine,23817,"42,450",3.0,4.75,4.5,5.0
79,ia,webster,71,"42,161",3.25,4.1875,15.625,203.0
80,ia,washington,7309,"51,235",4.0,4.5,8.0,7.0
81,ia,wapello,2026,"34,477",3.1,4.35,13.1,201.0
82,ia,union,382,"37,907",4.0,5.0,3.0,6.0
83,ia,tama,2745,"40,729",3.3333333333333335,4.5,6.666666666666667,51.0
84,ia,shelby,616,"50,283",3.076923076923077,4.076923076923077,14.538461538461538,364.0
85,ia,jefferson,4148,"37,397",3.125,3.6875,9.625,254.0
86,ia,osceola,5193,"57,030",3.25,3.8125,8.125,187.0
87,ia,monroe,1874,"38,175",3.2222222222222223,3.888888888888889,7.333333333333333,281.0
88,ia,mitchell,131,"57,565",4.0,2.5,5.0,19.0
89,ia,marshall,27068,"38,463",3.1666666666666665,3.6666666666666665,7.0,279.0
90,ia,marion,39979,"40,851",3.0,4.5,13.0,72.0
91,ia,lucas,209,"37,890",3.25,3.8125,9.625,188.0
92,ia,plymouth,363,"52,006",4.0,2.5,5.0,7.0
93,id,twin falls,49764,"35,300",3.0,3.75,7.0,19.0
94,id,jerome,11807,"37,126",3.0,3.75,7.0,23.0
95,id,payette,7527,"35,582",3.076923076923077,3.8846153846153846,12.153846153846153,422.0
96,id,gooding,3473,"58,373",3.0,3.75,7.0,30.0
97,id,shoshone,1511,"33,851",3.0,3.75,7.0,33.0
98,id,teton,733,"31,214",3.5,2.625,10.5,17.0
99,id,minidoka,113,"35,533",3.0,1.0,1.0,4.0
100,il,scott,1235,"37,014",3.3333333333333335,2.6666666666666665,8.666666666666666,46.0
101,il,franklin,2473,"34,652",3.0,3.5,12.5,51.0
102,il,union,677,"37,679",3.3333333333333335,3.7666666666666666,19.6,503.0
103,il,montgomery,637,"33,349",3.0,4.5,19.0,109.0
104,il,morgan,345,"36,602",3.3333333333333335,2.6666666666666665,8.666666666666666,62.0
105,il,lake,941,"68,199",3.0,3.973684210526316,72.05263157894737,5600.0
106,il,wabash,2152,"41,797",3.3333333333333335,4.333333333333333,14.0,76.0
107,il,dekalb,42611,"35,809",3.0,3.0,11.4,35.0
108,il,fulton,3346,"33,854",3.0,3.875,9.5,33.0
109,il,henry,2232,"42,246",3.0,3.8125,13.625,163.0
110,il,johnson,644,"30,786",3.0,3.5,3.0,23.0
111,il,kankakee,26052,"36,138",3.0,3.0,2.0,23.0
112,il,mchenry,27022,"48,027",4.0,2.0,3.0,50.0
113,il,macon,1120,"44,811",3.0,3.25,3.0,15.0
114,il,madison,3794,"40,943",3.2857142857142856,3.357142857142857,18.571428571428573,336.0
115,il,douglas,157,"45,461",3.5,3.875,3.75,198.0
116,il,marshall,3843,"42,080",3.0,4.75,7.5,25.0
117,il,rock island,37678,"39,842",3.0,4.25,13.5,57.0
118,il,boone,1934,"40,608",3.1176470588235294,3.9411764705882355,15.0,1800.0
119,il,lee,308,"37,889",3.0,3.75,14.5,59.0
120,il,bureau,233,"39,270",3.0,3.5,7.5,19.0
121,il,brown,2054,"29,522",3.5,2.25,3.5,23.0
122,il,lasalle,9064,"39,378",3.0,2.0,14.0,14.0
123,il,richland,363,"39,787",3.0,5.0,1.0,14.0
124,il,knox,4794,"36,417",3.0,3.625,21.0,151.0
125,il,kendall,8946,"43,074",3.375,3.5625,24.625,860.0
126,il,warren,1479,"36,696",3.142857142857143,4.071428571428571,23.428571428571427,270.0
127,il,jersey,9823,"36,597",3.0555555555555554,4.166666666666667,19.666666666666668,1000.0
128,il,cass,601,"38,103",3.2,2.7,8.4,81.0
129,il,edgar,449,"37,073",3.2,4.0,27.0,154.0
130,il,lawrence,6355,"32,979",3.0,5.0,1.0,16.0
131,il,pike,225,"39,140",3.6666666666666665,2.3333333333333335,3.3333333333333335,20.0
132,il,will,1805,"45,465",3.142857142857143,4.261904761904762,57.333333333333336,5400.0
133,il,jasper,1722,"42,512",3.0,5.0,5.5,49.0
134,il,carroll,578,"40,981",3.0,4.5,10.5,144.0
135,il,perry,574,"34,612",3.5,2.25,3.5,16.0
136,il,hardin,204,"34,034",3.111111111111111,4.027777777777778,15.38888888888889,945.0
137,il,st. clair,35047,"39,740",3.076923076923077,4.1923076923076925,20.846153846153847,1000.0
138,il,logan,3104,"35,205",3.0,2.5,5.0,209.0
139,il,monroe,1485,"50,446",3.05,4.1,18.75,1100.0
140,il,mercer,3872,"40,702",3.0,4.357142857142857,23.857142857142858,164.0
141,il,greene,1543,"34,501",3.272727272727273,3.090909090909091,15.727272727272727,373.0
142,il,randolph,4447,"32,226",3.111111111111111,4.0,22.444444444444443,709.0
143,il,sangamon,2333,"43,441",3.5,1.75,4.0,78.0
144,in,ripley,985,"37,430",3.3333333333333335,3.5,18.333333333333332,384.0
145,in,vigo,3964,"34,509",3.0,4.75,7.5,49.0
146,in,allen,670,"40,471",3.0,4.25,20.75,156.0
147,in,randolph,4170,"35,269",3.25,4.125,5.5,168.0
148,in,clark,2715,"40,151",3.0,4.0,56.666666666666664,503.0
149,in,hendricks,1276,"42,937",3.1666666666666665,4.291666666666667,27.333333333333332,978.0
150,in,vermillion,877,"35,532",3.0,3.9166666666666665,25.333333333333332,177.0
151,in,fayette,2600,"35,734",3.0,4.0,11.75,119.0
152,in,gibson,1168,"40,959",3.25,4.0,12.0,87.0
153,in,floyd,4051,"47,171",3.0,3.6666666666666665,21.555555555555557,450.0
154,in,washington,12149,"33,987",3.4,3.8,7.6,97.0
155,in,warren,1209,"42,455",3.2,3.5,11.8,184.0
156,in,wabash,10054,"38,314",3.2,4.1,16.4,173.0
157,in,tipton,5104,"40,206",3.0,4.0,9.0,6.0
158,in,sullivan,4097,"31,374",3.0,4.833333333333333,5.333333333333333,48.0
159,in,spencer,2248,"39,496",3.0,3.0,21.0,9.0
160,in,porter,4825,"45,101",3.0,2.75,14.5,15.0
161,in,morgan,976,"39,004",3.0,3.9583333333333335,24.416666666666668,982.0
162,in,montgomery,347,"37,697",3.4,3.8,7.6,96.0
163,in,marion,28047,"46,320",3.0,4.0,9.0,10.0
164,in,lawrence,49046,"34,913",3.1,4.1,18.65,530.0
165,in,knox,3535,"41,101",3.0,3.0,13.0,7.0
166,in,jasper,15568,"40,597",3.6666666666666665,3.6666666666666665,11.0,10.0
167,in,elkhart,52367,"38,511",3.5,3.0,2.5,31.0
168,in,decatur,9843,"38,304",3.0,4.0,13.0,159.0
169,in,clinton,4717,"34,936",3.0,4.75,7.5,25.0
170,in,wayne,952,"36,972",3.0,3.5,19.714285714285715,391.0
171,in,jefferson,1131,"37,002",3.0,3.6875,20.5,151.0
172,in,lagrange,2748,"34,987",3.2222222222222223,3.7777777777777777,17.88888888888889,290.0
173,in,adams,34460,"35,449",3.6,4.1,13.2,164.0
174,in,union,962,"34,404",3.0,4.333333333333333,10.333333333333334,56.0
175,in,howard,2558,"36,841",3.0,4.222222222222222,25.88888888888889,665.0
176,in,brown,2647,"40,633",3.0,4.5,36.0,792.0
177,in,henry,2934,"33,164",3.0,4.25,4.666666666666667,165.0
178,in,delaware,3475,"32,666",3.066666666666667,3.7333333333333334,14.8,467.0
179,in,jennings,1416,"34,177",3.0,4.0,6.0,148.0
180,in,johnson,499,"42,691",3.3333333333333335,3.6666666666666665,15.666666666666666,88.0
181,in,posey,3931,"45,646",3.3333333333333335,3.6666666666666665,15.666666666666666,76.0
182,in,cass,338,"34,954",3.0,3.25,17.5,102.0
183,in,miami,1273,"31,354",3.0952380952380953,4.095238095238095,56.0,2800.0
184,in,jackson,532,"38,888",3.1666666666666665,3.75,18.583333333333332,344.0
185,in,noble,1915,"34,625",3.4285714285714284,4.142857142857143,14.714285714285714,243.0
186,in,lake,2433,"38,485",3.25,3.875,27.0,144.0
187,in,perry,30956,"33,711",3.5,3.625,9.75,116.0
188,in,clay,3540,"33,864",3.0,4.045454545454546,20.727272727272727,820.0
189,in,harrison,4132,"37,177",3.0,4.75,7.5,24.0
190,in,ohio,1930,"35,220",3.111111111111111,3.611111111111111,41.666666666666664,215.0
191,in,tippecanoe,2357,"34,210",3.0588235294117645,3.4411764705882355,24.764705882352942,565.0
192,in,boone,1446,"62,698",3.1333333333333333,4.1,22.266666666666666,965.0
193,ks,lyon,523,"33,378",4.0,3.0,15.0,55.0
194,ks,harvey,92,"38,197",3.0,4.142857142857143,12.857142857142858,196.0
195,ks,neosho,263,"35,565",3.5,4.25,7.5,25.0
196,ks,pottawatomie,197,"48,438",3.25,3.25,10.25,85.0
197,ks,crawford,590,"33,475",3.3333333333333335,3.1666666666666665,7.0,42.0
198,ks,franklin,347,"37,003",3.25,3.625,8.25,43.0
199,ks,clay,70,"39,251",3.0,3.5,12.0,52.0
200,ks,scott,2265,"67,443",3.3333333333333335,3.6666666666666665,6.0,8.0
201,ks,grant,50,"51,243",3.5,3.0,2.0,12.0
202,ks,sherman,537,"36,625",3.5,3.5,9.0,44.0
203,ks,jefferson,614,"38,324",3.2142857142857144,4.178571428571429,18.571428571428573,820.0
204,ks,douglas,108,"37,883",3.0,4.333333333333333,14.333333333333334,137.0
205,ks,wabaunsee,521,"45,431",3.25,3.125,13.25,88.0
206,ks,morris,24,"39,588",3.0,3.5,10.5,54.0
207,ks,morton,439,"38,439",3.0,1.0,1.0,4.0
208,ks,sumner,157,"36,574",3.142857142857143,3.857142857142857,17.0,189.0
209,ks,miami,545,"41,823",3.230769230769231,4.269230769230769,16.53846153846154,861.0
210,ks,stanton,182,"55,496",3.1666666666666665,4.138888888888889,22.0,898.0
211,ks,reno,1506,"36,148",3.0,4.333333333333333,11.0,113.0
212,ks,haskell,1950,"74,156",3.5,3.0,2.0,12.0
213,ks,nemaha,153,"50,505",3.0,3.5,10.5,39.0
214,ks,osage,242,"36,926",3.3333333333333335,3.6666666666666665,9.0,132.0
215,ks,labette,72,"37,052",3.5,3.5,9.0,61.0
216,ks,kiowa,941,"31,897",3.0,3.5,6.0,2.0
217,ks,kingman,2906,"41,913",3.0,4.0,9.0,89.0
218,ks,allen,174,"36,328",3.3333333333333335,3.3333333333333335,12.0,88.0
219,ks,harper,1333,"44,958",3.0,4.083333333333333,15.333333333333334,164.0
220,ks,cherokee,709,"32,957",3.5,3.5,9.0,43.0
221,ks,atchison,10560,"33,996",3.0,4.0,4.0,41.0
222,ks,greeley,296,"49,392",3.090909090909091,4.2272727272727275,18.727272727272727,559.0
223,ks,linn,385,"32,225",3.0,3.5,10.5,37.0
224,ks,jackson,451,"36,827",3.6,3.4,7.4,150.0
225,ks,washington,1062,"43,948",3.0,3.5,10.5,22.0
226,ks,riley,954,"38,338",3.0,3.5,10.5,43.0
227,ks,meade,1565,"55,983",3.0,5.0,2.0,10.0
228,ks,marion,1787,"36,386",3.0,4.1,18.6,91.0
229,ks,ottawa,12267,"36,310",3.3333333333333335,4.0,21.75,791.0
230,ky,hickman,2156,"44,746",3.0,2.0,22.0,20.0
231,ky,union,5930,"33,296",3.0,4.0,29.0,95.0
232,ky,martin,560,"25,670",3.0,2.5,7.0,8.0
233,ky,marion,2872,"31,651",3.0,3.5,4.0,69.0
234,ky,jefferson,27997,"44,719",3.0,4.1,29.0,511.0
235,ky,jackson,1979,"26,195",3.0,2.5,7.0,13.0
236,ky,henderson,28432,"36,154",3.0,4.5,27.0,58.0
237,ky,hardin,610,"38,575",3.0,2.0,22.0,19.0
238,ky,franklin,8969,"38,667",3.0714285714285716,3.9285714285714284,19.642857142857142,653.0
239,ky,cumberland,1967,"30,581",3.0,2.5,7.0,6.0
240,ky,crittenden,3899,"33,019",3.0,3.75,18.25,172.0
241,ky,allen,176,"28,593",3.0,2.5,7.0,8.0
242,ky,harlan,1531,"27,778",3.0,4.75,6.5,30.0
243,ky,clay,1117,"27,255",3.0,3.6666666666666665,12.333333333333334,93.0
244,ky,carlisle,1959,"42,485",3.3333333333333335,4.333333333333333,5.333333333333333,23.0
